Date : 2026-06-20 16:13:25
Directory : /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02
Total : 404 files,  56845 codes, 3383 comments, 9894 blanks, all 70122 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/EnrollmentEntity.java                        | Java               |         33 |          0 |          9 |         42 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/LessonCommentEntity.java                     | Java               |         42 |          0 |         12 |         54 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/LessonEntity.java                            | Java               |         47 |          0 |         16 |         63 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/LessonProblemEntity.java                     | Java               |         27 |          0 |          7 |         34 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/QuizAttemptAnswerEntity.java                 | Java               |         26 |          0 |          7 |         33 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/QuizAttemptEntity.java                       | Java               |         40 |          0 |         13 |         53 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/QuizEntity.java                              | Java               |         32 |          0 |          9 |         41 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/QuizOptionEntity.java                        | Java               |         33 |          0 |         10 |         43 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/course/QuizQuestionEntity.java                      | Java               |         35 |          0 |         10 |         45 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/ContestStatus.java                            | Java               |          6 |          0 |          2 |          8 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/CourseStatus.java                             | Java               |          7 |          0 |          2 |          9 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/EnrollmentStatus.java                         | Java               |          6 |          0 |          2 |          8 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/InstructorAppStatus.java                      | Java               |          7 |          0 |          2 |          9 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/InstructorStatus.java                         | Java               |          5 |          0 |          2 |          7 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/LessonStatus.java                             | Java               |          5 |          0 |          2 |          7 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/OjVerdict.java                                | Java               |         12 |          0 |          2 |         14 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/OrderStatus.java                              | Java               |          6 |          0 |          2 |          8 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/PaymentType.java                              | Java               |          4 |          0 |          2 |          6 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/PayoutStatus.java                             | Java               |          7 |          0 |          2 |          9 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/ProblemDifficulty.java                        | Java               |          6 |          0 |          2 |          8 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/ProblemScope.java                             | Java               |          7 |          0 |          2 |          9 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/RoleName.java                                 | Java               |          6 |          0 |          2 |          8 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/ScoringRule.java                              | Java               |          6 |          0 |          2 |          8 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/StatusTransaction.java                        | Java               |          7 |          0 |          2 |          9 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/TransactionType.java                          | Java               |          9 |          0 |          2 |         11 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/enums/UserStatus.java                               | Java               |          5 |          0 |          2 |          7 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/instructor/InstructorApplicationEntity.java         | Java               |         60 |          0 |         21 |         81 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/instructor/InstructorEntity.java                    | Java               |         39 |          0 |         12 |         51 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/payment/OrderEntity.java                            | Java               |         43 |          0 |         11 |         54 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/payment/OrderItemEntity.java                        | Java               |         28 |          0 |          8 |         36 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/payment/PaymentTransactionEntity.java               | Java               |         42 |          0 |         11 |         53 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/payment/PayoutRequestEntity.java                    | Java               |         50 |          0 |         16 |         66 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/payment/WalletEntity.java                           | Java               |         34 |          0 |          9 |         43 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/payment/WalletTransactionEntity.java                | Java               |         45 |          0 |         12 |         57 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/problem/ProblemCommentEntity.java                   | Java               |         37 |          0 |         11 |         48 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/problem/ProblemEntity.java                          | Java               |         85 |          0 |         29 |        114 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/problem/ProblemSubmissionDetailEntity.java          | Java               |         44 |          0 |         15 |         59 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/problem/ProblemSubmissionEntity.java                | Java               |         55 |          0 |         17 |         72 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/problem/ProblemTagEntity.java                       | Java               |         28 |          0 |          9 |         37 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/problem/ProblemTagMappingEntity.java                | Java               |         23 |          0 |          6 |         29 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/problem/ProblemTestcaseEntity.java                  | Java               |         28 |          0 |          9 |         37 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/progress/CompletedLessonsCountEntity.java           | Java               |         53 |          0 |         12 |         65 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/progress/LessonProgressEntity.java                  | Java               |         31 |          0 |          9 |         40 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/user/UserDailyActivityEntity.java                   | Java               |         32 |          0 |          9 |         41 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/user/UserEntity.java                                | Java               |         63 |          0 |         19 |         82 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/entity/user/UserOauthAccountEntity.java                    | Java               |         30 |          0 |          9 |         39 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/event/SubmissionJudgedEvent.java                           | Java               |         17 |          0 |          3 |         20 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/event/UserRegisteredEvent.java                             | Java               |         13 |          0 |          4 |         17 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/exception/AppException.java                                | Java               |         10 |          0 |          4 |         14 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/exception/ErrorCode.java                                   | Java               |         94 |          0 |         25 |        119 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/exception/GlobalExceptionHandler.java                      | Java               |         83 |          0 |         11 |         94 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/listener/RedisContestEventListener.java                    | Java               |         37 |          2 |          7 |         46 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/mapper/ContestMapper.java                                  | Java               |         30 |          0 |          6 |         36 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/mapper/CourseMapper.java                                   | Java               |         87 |          0 |         22 |        109 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/mapper/PaymentTransactionMapper.java                       | Java               |         10 |          0 |          4 |         14 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/mapper/QuizMapper.java                                     | Java               |         10 |          0 |          4 |         14 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/mapper/UserMapper.java                                     | Java               |         41 |          0 |          7 |         48 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/mapper/WalletTransactionMapper.java                        | Java               |         10 |          0 |          4 |         14 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/auth/InvalidatedTokenRepository.java            | Java               |          8 |          0 |          3 |         11 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/auth/RoleRepository.java                        | Java               |         10 |          0 |          3 |         13 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/cart/CartItemRepository.java                    | Java               |         11 |          0 |          4 |         15 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/cart/CartRepository.java                        | Java               |          9 |          0 |          4 |         13 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/category/CategoryRepository.java                | Java               |         15 |          0 |          3 |         18 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/contest/ContestParticipantRepository.java       | Java               |         21 |          0 |          8 |         29 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/contest/ContestProblemAttemptRepository.java    | Java               |         15 |          0 |          6 |         21 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/contest/ContestProblemRepository.java           | Java               |         17 |          0 |          7 |         24 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/contest/ContestRankingRepository.java           | Java               |         24 |          0 |          7 |         31 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/contest/ContestRepository.java                  | Java               |         53 |          0 |         12 |         65 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/ChapterRepository.java                   | Java               |         11 |          0 |          5 |         16 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/CourseRepository.java                    | Java               |         51 |          0 |         14 |         65 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/CourseReviewRepository.java              | Java               |         17 |          0 |          7 |         24 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/EnrollmentRepository.java                | Java               |         80 |          0 |         15 |         95 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/LessonCommentRepository.java             | Java               |         17 |          0 |          5 |         22 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/LessonProblemRepository.java             | Java               |          8 |          0 |          3 |         11 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/LessonRepository.java                    | Java               |         13 |          0 |          5 |         18 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/QuizAttemptAnswerRepository.java         | Java               |         14 |          0 |          4 |         18 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/QuizAttemptRepository.java               | Java               |          9 |          0 |          3 |         12 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/QuizQuestionRepository.java              | Java               |         15 |          0 |          4 |         19 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/course/QuizRepository.java                      | Java               |          9 |          0 |          3 |         12 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/instructor/InstructorApplicationRepository.java | Java               |         14 |          0 |          7 |         21 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/instructor/InstructorRepository.java            | Java               |          9 |          0 |          3 |         12 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/payment/OrderItemRepository.java                | Java               |         32 |          0 |          5 |         37 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/payment/OrderRepository.java                    | Java               |         23 |          0 |          6 |         29 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/payment/PaymentTransactionRepository.java       | Java               |         15 |          0 |          4 |         19 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/payment/PayoutRequestRepository.java            | Java               |          9 |          0 |          3 |         12 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/payment/WalletRepository.java                   | Java               |         16 |          0 |          5 |         21 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/payment/WalletTransactionRepository.java        | Java               |         33 |          0 |          6 |         39 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/problem/ProblemCommentRepository.java           | Java               |         10 |          0 |          4 |         14 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/problem/ProblemRepository.java                  | Java               |         27 |          0 |          7 |         34 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/problem/ProblemSubmissionDetailRepository.java  | Java               |         30 |          0 |          8 |         38 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/problem/ProblemSubmissionRepository.java        | Java               |         43 |          0 |         14 |         57 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/problem/ProblemTagMappingRepository.java        | Java               |         11 |          0 |          4 |         15 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/problem/ProblemTagRepository.java               | Java               |          9 |          0 |          4 |         13 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/problem/ProblemTestcaseRepository.java          | Java               |         11 |          0 |          4 |         15 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/progress/CompletedLessonCountRepository.java    | Java               |         21 |          0 |          8 |         29 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/progress/LessonProgressRepository.java          | Java               |         17 |          0 |          8 |         25 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/projection/RankingUserProjection.java           | Java               |          7 |          0 |          2 |          9 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/projection/SubmissionMaxStats.java              | Java               |          5 |          0 |          2 |          7 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/specification/CourseSpecification.java          | Java               |         56 |          0 |         15 |         71 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/user/UserDailyActivityRepository.java           | Java               |         38 |          0 |          8 |         46 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/user/UserOauthAccountRepository.java            | Java               |          9 |          0 |          4 |         13 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/repository/user/UserRepository.java                        | Java               |         49 |          0 |         12 |         61 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/security/CourseSecurity.java                               | Java               |        155 |         11 |         30 |        196 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/security/CustomJwtDecoder.java                             | Java               |         60 |          0 |         10 |         70 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/security/JwtAccessDeniedHandler.java                       | Java               |         36 |          0 |          5 |         41 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/security/JwtAuthenticationEntryPoint.java                  | Java               |         36 |          0 |          7 |         43 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/security/SecurityConfig.java                               | Java               |        116 |          8 |         23 |        147 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/security/UserActivityFilter.java                           | Java               |         48 |          4 |         13 |         65 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/admin/AdminDashboardService.java                   | Java               |        225 |         11 |         44 |        280 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/admin/AdminFinancialService.java                   | Java               |        234 |         10 |         40 |        284 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/auth/AuthenticationService.java                    | Java               |        291 |          5 |         77 |        373 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/cart/CartService.java                              | Java               |         74 |          0 |         16 |         90 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/cloudinary/CloudinaryService.java                  | Java               |         39 |          0 |          7 |         46 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/contest/ContestRankingDbService.java               | Java               |         94 |          5 |          8 |        107 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/contest/ContestRankingService.java                 | Java               |        239 |         20 |         49 |        308 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/contest/ContestService.java                        | Java               |        748 |         10 |        134 |        892 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/contest/SseScoreboardManager.java                  | Java               |         61 |          1 |         15 |         77 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/course/CourseService.java                          | Java               |        363 |         25 |         89 |        477 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/service/course/QuizService.java                            | Java               |          8 |          0 |          3 |         11 |
