Date : 2026-06-20 16:13:25
Directory : /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02
Total : 404 files,  56845 codes, 3383 comments, 9894 blanks, all 70122 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend/src/main/java/com/swp391/coding_platform/security                                                                                                                                                        |          6 |        451 |         23 |         88 |        562 |
| backend/src/main/java/com/swp391/coding_platform/service                                                                                                                                                         |         26 |      5,614 |        252 |      1,045 |      6,911 |
| backend/src/main/java/com/swp391/coding_platform/service/admin                                                                                                                                                   |          2 |        459 |         21 |         84 |        564 |
| backend/src/main/java/com/swp391/coding_platform/service/auth                                                                                                                                                    |          1 |        291 |          5 |         77 |        373 |
| backend/src/main/java/com/swp391/coding_platform/service/cart                                                                                                                                                    |          1 |         74 |          0 |         16 |         90 |
| backend/src/main/java/com/swp391/coding_platform/service/cloudinary                                                                                                                                              |          1 |         39 |          0 |          7 |         46 |
| backend/src/main/java/com/swp391/coding_platform/service/contest                                                                                                                                                 |          4 |      1,142 |         36 |        206 |      1,384 |
| backend/src/main/java/com/swp391/coding_platform/service/course                                                                                                                                                  |          3 |        578 |         27 |        130 |        735 |
| backend/src/main/java/com/swp391/coding_platform/service/instructor                                                                                                                                              |          3 |      1,129 |         34 |        188 |      1,351 |
| backend/src/main/java/com/swp391/coding_platform/service/judge0                                                                                                                                                  |          2 |        370 |         66 |         76 |        512 |
| backend/src/main/java/com/swp391/coding_platform/service/payment                                                                                                                                                 |          4 |        494 |         34 |         89 |        617 |
| backend/src/main/java/com/swp391/coding_platform/service/problem                                                                                                                                                 |          2 |        666 |         14 |        102 |        782 |
| backend/src/main/java/com/swp391/coding_platform/service/ranking                                                                                                                                                 |          1 |         64 |          0 |         13 |         77 |
| backend/src/main/java/com/swp391/coding_platform/service/user                                                                                                                                                    |          2 |        308 |         15 |         57 |        380 |
| backend/src/main/java/com/swp391/coding_platform/util                                                                                                                                                            |          1 |         12 |          0 |          4 |         16 |
| backend/src/main/resources                                                                                                                                                                                       |          1 |         74 |          0 |         19 |         93 |
| backend/src/test                                                                                                                                                                                                 |          3 |        310 |         21 |         63 |        394 |
| backend/src/test/java                                                                                                                                                                                            |          3 |        310 |         21 |         63 |        394 |
| backend/src/test/java/com                                                                                                                                                                                        |          3 |        310 |         21 |         63 |        394 |
| backend/src/test/java/com/swp391                                                                                                                                                                                 |          3 |        310 |         21 |         63 |        394 |
| backend/src/test/java/com/swp391/coding_platform                                                                                                                                                                 |          3 |        310 |         21 |         63 |        394 |
| backend/src/test/java/com/swp391/coding_platform (Files)                                                                                                                                                         |          2 |         99 |          0 |         18 |        117 |
| backend/src/test/java/com/swp391/coding_platform/service                                                                                                                                                         |          1 |        211 |         21 |         45 |        277 |
| backend/src/test/java/com/swp391/coding_platform/service/contest                                                                                                                                                 |          1 |        211 |         21 |         45 |        277 |
| database                                                                                                                                                                                                         |          1 |      1,340 |      1,493 |      1,198 |      4,031 |
| docs                                                                                                                                                                                                             |         14 |      7,017 |          0 |      2,773 |      9,790 |
| docs (Files)                                                                                                                                                                                                     |          4 |      1,176 |          0 |        468 |      1,644 |
| docs/member                                                                                                                                                                                                      |         10 |      5,841 |          0 |      2,305 |      8,146 |
| docs/member/DE190023-Bazero06                                                                                                                                                                                    |          2 |        645 |          0 |        242 |        887 |
| docs/member/DE190094-nguyenvanquangfptu                                                                                                                                                                          |          2 |      2,474 |          0 |        984 |      3,458 |
| docs/member/DE190293-ThanhMiLa                                                                                                                                                                                   |          2 |      1,354 |          0 |        540 |      1,894 |
| docs/member/DE190307-Hositan26                                                                                                                                                                                   |          2 |        551 |          0 |        234 |        785 |
| docs/member/DE190416-duyphuong24                                                                                                                                                                                 |          2 |        817 |          0 |        305 |      1,122 |
| frontend                                                                                                                                                                                                         |         73 |     32,627 |      1,241 |      2,439 |     36,307 |
| frontend (Files)                                                                                                                                                                                                 |         11 |      4,483 |         10 |         34 |      4,527 |
| frontend/public                                                                                                                                                                                                  |          3 |         50 |          0 |          3 |         53 |
| frontend/src                                                                                                                                                                                                     |         59 |     28,094 |      1,231 |      2,402 |     31,727 |
| frontend/src (Files)                                                                                                                                                                                             |          4 |        369 |         17 |         59 |        445 |
| frontend/src/assets                                                                                                                                                                                              |          2 |          2 |          0 |          1 |          3 |
| frontend/src/components                                                                                                                                                                                          |          6 |        659 |         44 |         63 |        766 |
| frontend/src/components (Files)                                                                                                                                                                                  |          4 |        608 |         44 |         55 |        707 |
| frontend/src/components/StudentDashboard                                                                                                                                                                         |          2 |         51 |          0 |          8 |         59 |
| frontend/src/constants                                                                                                                                                                                           |          4 |        131 |          3 |         12 |        146 |
| frontend/src/constants/StudentDashboard                                                                                                                                                                          |          4 |        131 |          3 |         12 |        146 |
| frontend/src/context                                                                                                                                                                                             |          1 |        430 |         14 |         52 |        496 |
| frontend/src/hooks                                                                                                                                                                                               |          6 |        370 |          7 |         44 |        421 |
| frontend/src/hooks/StudentDashboard                                                                                                                                                                              |          6 |        370 |          7 |         44 |        421 |
| frontend/src/pages                                                                                                                                                                                               |         25 |     22,957 |        978 |      1,824 |     25,759 |
| frontend/src/services                                                                                                                                                                                            |         11 |      3,176 |        168 |        347 |      3,691 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/.github/ISSUE_TEMPLATE/bug.md                                                                               | Markdown           |         46 |          0 |         25 |         71 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/.github/ISSUE_TEMPLATE/task.md                                                                              | Markdown           |         47 |          0 |         22 |         69 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/.github/pull_request_template.md                                                                            | Markdown           |         67 |          0 |         33 |        100 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/.github/workflows/audit-check.yml                                                                           | YAML               |         26 |          0 |          6 |         32 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/.github/workflows/deploy-frontend.yml                                                                       | YAML               |         24 |          0 |          7 |         31 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/README.md                                                                                                   | Markdown           |         89 |          0 |         39 |        128 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/VIBE_CODE.md                                                                                                | Markdown           |        174 |          0 |         44 |        218 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/.mvn/wrapper/maven-wrapper.properties                                                               | Java Properties    |          3 |          0 |          1 |          4 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/mvnw.cmd                                                                                            | Batch              |        139 |         26 |         25 |        190 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/pom.xml                                                                                             | XML                |        243 |         27 |         34 |        304 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/CodingPlatformApplication.java                             | Java               |         48 |          0 |          7 |         55 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/ApplicationInitConfig.java                   | Java               |         43 |          1 |          9 |         53 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/CloudinaryConfig.java                        | Java               |         24 |          0 |          8 |         32 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/PasswordEncoderConfig.java                   | Java               |         12 |          0 |          3 |         15 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/PayOSConfig.java                             | Java               |         11 |          0 |          4 |         15 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/ProjectProperties.java                       | Java               |         36 |          5 |          8 |         49 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/RabbitMQConfig.java                          | Java               |         18 |          1 |          6 |         25 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/RedisConfig.java                             | Java               |         24 |          3 |          6 |         33 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/RedisPubSubConfig.java                       | Java               |         22 |          1 |          7 |         30 |
| /Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/configuration/WebClientConfig.java                         | Java               |         40 |          8 |         10 |         58 |
