"filename", "language", "Markdown", "YAML", "Java", "Java Properties", "Properties", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "JSON", "MS SQL", "JavaScript", "JSON with Comments", "HTML", "Batch", "comment", "blank", "total"
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/ranking/RankingController.java", "Java", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 74
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/user/AdminUserController.java", "Java", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/user/DashboardController.java", "Java", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 113
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/controller/user/UserController.java", "Java", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/judge0/Judge0BatchRequest.java", "Java", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/judge0/Judge0CallbackPayload.java", "Java", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 39
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/judge0/Judge0SubmissionItem.java", "Java", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 34
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/judge0/Judge0TokenResponse.java", "Java", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/judge0/SubmissionCountDto.java", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/message/ContestRankingDbUpdateMessage.java", "Java", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/AdminContestProblemRequest.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/AdminContestRequest.java", "Java", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/AdminProblemRequest.java", "Java", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/AdminTestcaseRequest.java", "Java", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/AppealRequest.java", "Java", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/ApproveApplicationRequest.java", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/AuthenticationRequest.java", "Java", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/ChangePasswordRequest.java", "Java", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/ContestRegisterRequest.java", "Java", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/ContestSearchRequest.java", "Java", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/CourseReviewRequest.java", "Java", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/CourseSearchRequest.java", "Java", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 66
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/CreateCommentRequest.java", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/GoogleLoginRequest.java", "Java", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/InstructorApplyRequest.java", "Java", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/InstructorCourseCreateRequest.java", "Java", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/InstructorCourseUpdateRequest.java", "Java", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 126
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/IntrospectRequest.java", "Java", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/LockUserRequest.java", "Java", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/OjSubmissionRequest.java", "Java", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/OrderCheckoutRequest.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/PaymentDepositRequest.java", "Java", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/QuizSubmitRequest.java", "Java", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/RegisterRequest.java", "Java", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/SubmitRequest.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/TestcaseGeneratorRequest.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/request/UpdateInstructorStatusRequest.java", "Java", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/response/AdminContestProblemResponse.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/response/AdminContestResponse.java", "Java", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/response/AdminDashboardStatsResponse.java", "Java", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 81
"/Users/ngocthanh/Documents/Material SU26/SWP391/swp391-su26-ai-audit-project-swp391_se20a11_group-02/backend/src/main/java/com/swp391/coding_platform/dto/response/AdminDepositHistoryResponse.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
